id,name_ja,name_en,position,cost,era,family,nationality,is_fcg,summary
031,チヌア・オコンクウォ,Chinua Okonkwo,WG,SS,3,オコンクウォ家(初代),奈,false,植民地の労働者、白人のピッチに立った最初の黒人
032,エミール・フォレスティエ,Émile Forestier,OM,2,3,無所属,仏,false,1908年五輪の象徴、戦場から戻れなかった詩人
033,アルバート・ケント,Albert Kent,GK,1,3,無所属,英,false,IFL最古参GK、30年間ゴールを守り続けた
034,ヤン・ノヴァーク,Jan Novák,DF,1,3,無所属,捷,false,プラハのクラブ創設メンバー、中欧の盾
035,ルーシー・ブライス,Lucy Bryce,VO,1,3,FC Grassroots,英,true,看護婦として戦地へ、帰国後も走り続けた女
036,フランク・マッケンジー,Frank MacKenzie,FW,1,3,FC Grassroots,蘇,true,塹壕で片目を失ったが、ピッチに戻った
037,ヨゼフ・ハートマン,Josef Hartmann,SB,1,3,FC Grassroots,独,true,ドイツからの亡命者、敵国で味方になった
038,ドロシー・ブラックウッド,Dorothy Blackwood,OM,SS,4,ブラックウッド家(ウィリアムの妹),英,false,51年間夢を封印された女、叔父の署名に裏切られた妹
039,ヴァイオレット・コナー,Violet Connor,FW,SS,4,無所属(プレストン・メカニクス・レディース),英,false,禁止令前夜の得点王、1920年B-Day5万3千人の英雄
040,フリードリヒ・ヴァイスハウプト,Friedrich Weisshaupt,MF,2+,4,ヴァイスハウプト家(3代),独,false,1925年オフサイド改正を世界で最初に分析した戦術家
041,ヴィンセント・コールドウェル,Vincent Caldwell,DF,2,4,ブラックウッド家縁戚(IFA副会長),英,false,1921年禁止令に署名した男、ドロシーの母方の叔父
042,アーネスト・ブラックウッド,Ernest Blackwood,FW,2+,4,ブラックウッド家(4代当主),英,false,ウィリアムの弟、兄の死後に一族を継いだ男
043,ジュリアーノ・モンテフィオーレ,Giuliano Montefiore,OM,2+,4,モンテフィオーレ家(3代),伊,false,ムッソリーニに近づいた興行師、権力に魅入られた
044,マリー・デュボワ,Marie Dubois,MF,2,4,デュボワ家(3代),仏,false,最初の女性サッカー記者、禁止令を報じ続けた
045,ジョルジュ・ラマルシュ,Georges Lamarche,FW,2,4,無所属,仏/烏,false,1930年第1回W杯、決勝で散った南米育ちのフランス人
046,アントニオ・シルヴァ,Antônio Silva,WG,2,4,シルヴァ家(3代),伯,false,狂騒期のサントス、最初の「ブラジル的」WG
047,ステファン・コヴァチェヴィッチ,Stefan Kovačević,VO,2+,4,コヴァチェヴィッチ家(3代),塞,false,1914年塹壕試合の生存者、ウィリアムと蹴った男
048,アンガス・マクファーレン,Angus MacFarlane,SB,1+,4,マクファーレン家(4代当主),蘇,false,1921年IFL評議会の日の当主、駒を彫り続けた
049,アーロン・アデヨ,Aaron Adeyo,WG,1+,4,オコンクウォ家(2代),奈,false,植民地から英国へ渡った黒人選手、Era 4唯一の象徴
050,ハンナ・ブライトン,Hannah Brighton,DF,1+,4,無所属(プレストン・メカニクス・レディース),英,false,ドロシーの盟友、禁止令で引退した元看護婦
051,アグネス・マロリー,Agnes Mallory,GK,1+,4,無所属(プレストン・メカニクス・レディース),英,false,禁止令の日に引退した最初のプロ女子GK
052,ルイジ・ベッリーニ,Luigi Bellini,GK,1,4,無所属,伊,false,トリノ・フィアンマ黎明期の守護神
053,ヘルマン・シュナイダー,Hermann Schneider,DF,1,4,無所属,独,false,ヴァイマル期のベルリン、インフレ下で鍛えた壁
054,ルイス・カブレラ,Luis Cabrera,MF,1,4,無所属,烏,false,1930年W杯優勝の南米組、小柄な司令塔
055,マリウス・ベックマン,Marius Beckmann,DF,1,4,FC Grassroots,独,true,元戦争捕虜、英国で捨てられず拾われた男
056,フリードリヒ・ヴァイスハウプト(晩年),Friedrich Weisshaupt (late),MF,SS,5,ヴァイスハウプト家(3代),独,false,1945年に死去、戦術ノートだけを残した老戦術家
057,ジーノ・モンテフィオーレ,Gino Montefiore,FW,2+,5,モンテフィオーレ家(4代),伊,false,1934/1938連覇の象徴、戦後に一族が裁かれた男
058,アデマール・シルヴァ,Ademar Silva,OM,2+,5,シルヴァ家(4代),伯,false,1950年マラカナンで涙した司令塔、兄は観客席で死んだ
059,ハインリヒ・ヴァイスハウプト,Heinrich Weisshaupt,DF,2,5,ヴァイスハウプト家(4代),独,false,フリードリヒの長男、ナチス党員として戦死した息子
060,クラウス・ヴァイスハウプト,Klaus Weisshaupt,VO,2,5,ヴァイスハウプト家(4代・次男),墺,false,ゲシュタポから逃れた弟、戦術ノートを守った亡命者
061,マルチェッロ・ビアンキ,Marcello Bianchi,GK,2,5,無所属,伊,false,1934/1938W杯優勝のGK、戦後に沈黙した守護神
062,イヴァン・コヴァチェヴィッチ,Ivan Kovačević,VO,2,5,コヴァチェヴィッチ家(4代),南斯,false,パルチザン兵士、森から戻った司令塔
063,ピエルリュイジ・ザネッティ,Pierluigi Zanetti,WG,1+,5,無所属,伊,false,1938W杯の黒シャツ、戦後に素性を隠した元兵士
064,ロバート・ブラックウッド,Robert Blackwood,FW,1+,5,ブラックウッド家(5代当主),英,false,1940年ダンケルク帰り、戦場と結婚式を両方経験した男
065,アンドレ・デュボワ,André Dubois,MF,1+,5,デュボワ家(4代),仏,false,レジスタンスの戦中記者、地下新聞の執筆者
066,セルジオ・フェルナンデス,Sergio Fernandez,DF,1,5,無所属,烏,false,1950年マラカナン、勝った側のウルグアイ人DF
067,マルタ・カルドーゾ,Marta Cardoso,MF,1,5,シルヴァ家(傍流),伯,false,禁止されても裏庭で蹴った、シルヴァ家の女
068,タデウシュ・ノヴァク,Tadeusz Nowak,GK,1,5,無所属,波,false,アウシュビッツで死んだはずが、別の名で再登場した男
069,オーウェン・アマ,Owen Ama,FW,1,5,オコンクウォ家(3代),奈,false,英国軍として戦争に動員された若き黒人兵
070,エルネスト・リベラ,Ernesto Rivera,SB,1,5,FC Grassroots,西,true,スペイン内戦で家族を失い、英国に流れ着いた翼
071,ペドロ・シルヴァ,Pedro Silva,FW,SS,6,シルヴァ家(5代・黄金期の象徴),伯,false,1958/1962連覇の化身、ファベーラから世界王者へ
072,ディミトリ・コヴァチェヴィッチ,Dimitri Kovačević,OM,SS,6,コヴァチェヴィッチ家(5代),南斯,false,チトー時代の10番、社会主義下の芸術家
073,フランコ・モンテフィオーレ,Franco Montefiore,OM,2+,6,モンテフィオーレ家(5代・戦後再建者),伊,false,戦争犯罪の父を持ちながらクラブを再建した男
074,オットー・ヴァイスハウプト,Otto Weisshaupt,VO,2+,6,ヴァイスハウプト家(5代),独,false,クラウスの息子、Bundesliga創設(1963)の立役者
075,アクワシ・オコンクウォ,Akwasi Okonkwo,WG,2,6,オコンクウォ家(4代),奈,false,1960年独立の年に代表入り、初の黒人解放世代
076,ジャン=リュック・デュボワ,Jean-Luc Dubois,MF,2,6,デュボワ家(5代),仏,false,TV中継黎明期の実況者、声でサッカーを届けた
077,カーティス・ブラックウッド,Curtis Blackwood,DF,2,6,ブラックウッド家(6代当主),英,false,1966年W杯優勝世代の若手、ミュンヘン空難の生存者
078,ハミッシュ・マクファーレン2世,Hamish MacFarlane II,SB,2,6,マクファーレン家(5代・フィオナの父),蘇,false,祖父と同名、駒師の伝統を継いだ実務家
079,ジョアキン・ダ・コスタ,Joaquim da Costa,FW,2+,6,無所属,葡,false,1966年W杯得点王、モザンビークから来た俊足
080,ジャンニ・ロッシ,Gianni Rossi,GK,1+,6,無所属,伊,false,カテナチオ時代のGK、失点を10試合防いだ鉄壁
081,アレハンドロ・ヴァルガス,Alejandro Vargas,DF,1+,6,無所属,西,false,フランコ政権下のマドリード、政治と戦いながら守った
082,ケヴィン・マホーニー,Kevin Mahoney,MF,1,6,FC Grassroots,愛,true,北アイルランド紛争から逃れた、父と兄を失った男
083,ウド・フィッシャー,Udo Fischer,MF,1+,6,無所属,独,false,Bundesliga初代世代、労働者出身のMF
084,ディエゴ・フォンセカ,Diego Fonseca,WG,1+,6,シルヴァ家(傍流・アルゼンチン分家),亜,false,ブエノスアイレスのバリオから来た左利きの翼
085,オスマン・ディアロ,Ousmane Diallo,FW,1,6,無所属,塞内加,false,独立後のダカール、フランス留学から戻った帰郷者
086,中村 隆志,Takashi Nakamura,DF,1,6,無所属,日,false,東京五輪(1964)ベスト8の世代、戦後日本の先駆者
087,ハンス・ファン・デル・ベルク,Hans van der Berg,OM,SS,7,無所属,蘭,false,トータルフットボールの化身、全方位に動いた10番
088,ルドルフ・ヴァイスハウプト,Rudolf Weisshaupt,DF,SS,7,ヴァイスハウプト家(6代),独,false,リベロの発明者、1974年W杯優勝の思考する守護神
089,ライアン・ブラックウッド,Ryan Blackwood,FW,2+,7,ブラックウッド家(7代・問題児),英,false,天才だが酒で自滅した男、家訓に背いた放蕩息子
090,パオロ・モンテフィオーレ,Paolo Montefiore,OM,2+,7,モンテフィオーレ家(6代),伊,false,カルチョ・スキャンダル直前の興行王、7-0の夢
091,ジョアキン・シルヴァ,Joaquim Silva,FW,2+,7,シルヴァ家(6代),伯,false,1970年W杯優勝、ペレの後継者と呼ばれた男
092,ミロスラフ・コヴァチェヴィッチ,Miroslav Kovačević,MF,2,7,コヴァチェヴィッチ家(6代),南斯,false,1974年W杯出場、チトー死去前夜のユーゴ黄金期
093,ピエール・デュボワ2世,Pierre Dubois II,MF,2,7,デュボワ家(6代),仏,false,1968年5月革命の記者、サッカーと政治を繋いだ筆
094,ヨハネス・マクファーレン,Johannes MacFarlane,SB,2,7,マクファーレン家(6代),蘇,false,代理人業を近代化、最初の「スーパーエージェント」
095,チェディ・オコンクウォ,Chedi Okonkwo,WG,2,7,オコンクウォ家(5代),奈,false,ビアフラ内戦(1967-70)を生き延びた俊足
096,ラースロー・ホルヴァート,László Horváth,OM,2+,7,無所属,匈,false,1956年動乱亡命者の息子、西独で輝いた頭脳
097,マヌエル・カストロ,Manuel Castro,FW,2,7,無所属,西,false,フランコ死去前年(1974)の代表、新時代の予兆
098,セルゲイ・イワノフ,Sergei Ivanov,GK,1+,7,無所属,露,false,冷戦下の守護神、亡命を選ばずに帰った男
099,ウィリアム・オコナー,William O'Connor,DF,1+,7,無所属,愛,false,北アイルランド出身、両陣営から狙われた壁
100,ソフィー・マルタン,Sophie Martin,MF,1+,7,無所属,仏,false,1971年FIFA女子W杯(非公式)代表、禁止令撤回前夜
101,ブルーノ・ゼッキーニ,Bruno Zecchini,VO,1+,7,無所属,伊,false,カテナチオ最後の職人、若手に嘲笑された古参
102,ウゴ・モラレス,Hugo Morales,WG,1,7,無所属,亜,false,1978年W杯優勝世代、軍事独裁下の複雑な英雄
103,田中 健司,Kenji Tanaka,MF,1,7,無所属,日,false,JSL初期のスター、日韓戦の象徴
104,サム・ウィリアムズ,Sam Williams,FW,1,7,FC Grassroots,牙買加,true,移民として英国に渡った、貧民街のストライカー
105,ルイス・アラーノ,Luis Arano,OM,SS,8,シルヴァ家(傍流・アルゼンチン分家),亜,false,1986年W杯優勝、神の手と5人抜きの両方をやった男
106,ダニエル・デュボワ,Daniel Dubois,OM,SS,8,デュボワ家(7代),仏,false,1984年欧州選手権優勝、エレガンスの再発明者
107,マルコ・モンテフィオーレ,Marco Montefiore,DF,2+,8,モンテフィオーレ家(7代),伊,false,カテナチオを捨てた新時代、1982年W杯優勝世代
108,カール・ヴァイスハウプト,Karl Weisshaupt,VO,2+,8,ヴァイスハウプト家(7代),独,false,ベッケンバウアーに分析された最後のドイツ司令塔
109,ナイジェル・ブラックウッド,Nigel Blackwood,DF,2,8,ブラックウッド家(8代当主),英,false,ヘイゼルの生存者、以後サッカーから遠ざかった当主
110,ジョアン・シルヴァ2世,João Silva II,FW,2,8,シルヴァ家(7代),伯,false,始祖と同名、1982年W杯の華麗な敗者
111,ドラガン・コヴァチェヴィッチ,Dragan Kovačević,FW,2,8,コヴァチェヴィッチ家(7代),南斯,false,ユーゴ最後の黄金世代、分裂前夜に輝いた得点王
112,オラフ・シュトルム,Olaf Sturm,MF,2,8,無所属,東独,false,東独代表、壁崩壊を見届けた亡命未遂者
113,アイシャ・オコンクウォ,Aisha Okonkwo,MF,1+,8,オコンクウォ家(6代),奈,false,家系初の女性選手、ラゴスの草サッカー黎明期
114,クラウディオ・ロッシーニ,Claudio Rossini,GK,1+,8,無所属,伊,false,1982年W杯優勝GK、沈黙を守ったカテナチオ最後の証人
115,ボビー・モリス,Bobby Morris,WG,1+,8,無所属,英,false,ヒルズボロで友を失った男、以後語らなかった翼
116,イアン・マクファーレン,Ian MacFarlane,SB,1+,8,マクファーレン家(7代),蘇,false,ボスマン以前の代理人、選手の権利を守った
117,アンジェイ・コヴァルスキ,Andrzej Kowalski,DF,1,8,無所属,波,false,連帯運動時代のGK、国を背負った壁
118,マリオ・フィゲロア,Mario Figueroa,FW,1,8,無所属,智,false,ピノチェト政権下のサンティアゴ、政治犯の息子
119,ハロルド・ヤンセン,Harold Jansen,VO,1,8,無所属,蘭,false,トータルフットボール後の守備的MF、世代交代の犠牲者
120,山田 弘,Hiroshi Yamada,MF,1,8,無所属,日,false,JSL終期のスター、Jリーグ創設前夜の準備世代
121,ゾラン・コヴァチェヴィッチ,Zoran Kovačević,OM,SS,9,コヴァチェヴィッチ家(8代当主),塞,false,ユーゴ崩壊を見届けた10番、兄弟で敵になった男
122,ファビオ・ダ・シルヴァ,Fábio da Silva,FW,SS,9,シルヴァ家(8代),伯,false,1994/1998W杯の現象、17歳で世界を知った怪物
123,フィオナ・マクファーレン,Fiona MacFarlane,OM,2+,9,マクファーレン家(8代当主・代理人),蘇,false,ボスマン後の最初の女性代理人、搾取と革新の狭間
124,エドゥアルド・シルヴァ,Eduardo Silva,WG,2+,9,シルヴァ家(傍流),伯,false,フィオナに搾取的に欧州へ送られた才能、17歳の旅立ち
125,ミハエル・ヴァイスハウプト,Michael Weisshaupt,VO,2+,9,ヴァイスハウプト家(8代),独,false,1990年W杯優勝、統一独逸最初の代表
126,ブランコ・コヴァチェヴィッチ,Branko Kovačević,DF,2,9,コヴァチェヴィッチ家(傍流・クロアチア分家),克,false,1998年W杯3位、ゾランの敵になった従兄
127,アデミル・ムハマドヴィッチ,Ademir Muhamedović,MF,2,9,コヴァチェヴィッチ家(傍流・ボスニア分家),波,false,サラエボ包囲戦を生き延びたMF、三つに裂かれた一族
128,デヴィッド・ブラックウッド,David Blackwood,FW,2,9,ブラックウッド家(9代当主),英,false,プレミアリーグ創設世代、放映権ビジネスを呪った男
129,セルジオ・モンテフィオーレ,Sergio Montefiore,OM,2,9,モンテフィオーレ家(8代),伊,false,1994年W杯準優勝、PK失敗後に消えた才能
130,アレッサンドラ・モンテフィオーレ,Alessandra Montefiore,MF,2+,9,モンテフィオーレ家(傍流・女性クラブ経営),伊,false,女性として初めてクラブを所有した一族の異端
131,ステファノ・ガッティ,Stefano Gatti,GK,1+,9,無所属,伊,false,セリエA黄金期のGK、カルチョ・スキャンダル告発者
132,ヨヘン・ミュラー,Jochen Müller,DF,1+,9,無所属,東独→独,false,壁崩壊後にブンデスリーガへ移籍した元東独代表
133,宮本 和樹,Kazuki Miyamoto,MF,1+,9,無所属,日,false,Jリーグ初代MVP、1998年W杯初出場世代
134,オルフェミ・オコンクウォ,Olufemi Okonkwo,FW,1+,9,オコンクウォ家(7代),奈,false,1996年アトランタ五輪金メダル、アフリカ初の快挙
135,セドリック・ラフォン,Cédric Lafont,WG,1,9,無所属,仏,false,1998年フランスW杯優勝、移民2世の英雄
136,グレゴール・ノヴァク,Gregor Novák,SB,1,9,無所属,捷,false,1996年欧州準優勝、ビロード革命後の世代
137,アンドレアス・セルビー,Andreas Selby,FW,1,9,無所属,英,false,プレミア初代の労働者階級FW、商業化に馴染めなかった男
138,ヤシン・ブレメル,Yacine Bremer,OM,SS,10,無所属,仏/阿,false,1998/2000/2006、無冠で終わった仏系マグレブの王
139,アレハンドロ・シルヴァ,Alejandro Silva,WG,SS,10,シルヴァ家(傍流・アルゼンチン分家),亜,false,銀河系クラブの若き皇子、17歳で欧州を買われた天才
140,ジョージ・ブラックウッド,George Blackwood,MF,2+,10,ブラックウッド家(10代当主),英,false,メディアに愛された顔の男、家訓を商業化した異端児
141,ダニエレ・モンテフィオーレ,Daniele Montefiore,DF,2+,10,モンテフィオーレ家(9代当主),伊,false,2006年W杯優勝、カルチョポリで一族が裁かれた男
142,アンジェロ・デ・ルカ,Angelo De Luca,OM,2+,10,無所属,伊,false,ユーベの背番号10、銀河系時代のファンタジスタ
143,クラウディオ・シルヴァ,Cláudio Silva,FW,2,10,シルヴァ家(9代),伯,false,2002年日韓W杯得点王、20代で欧州の頂点を極めた
144,ハインリヒ・ヴァイスハウプト2世,Heinrich Weisshaupt II,VO,2,10,ヴァイスハウプト家(9代),独,false,初代と同名、2002年W杯準優勝の頭脳派
145,宮川 遼,Ryo Miyagawa,OM,2,10,無所属,日,false,2002年日韓W杯のアジア代表、欧州へ渡った最初の日本人10番
146,金 泰秀,Kim Tae-soo,FW,2,10,無所属,韓,false,2002年日韓W杯ベスト4、韓国サッカーの頂点
147,マリア・サントス,Maria Santos,OM,1+,10,シルヴァ家(傍流・女性分家),伯,false,2004年アテネ五輪銀、ブラジル女子サッカーの先駆者
148,ゴラン・コヴァチェヴィッチ,Goran Kovačević,MF,1+,10,コヴァチェヴィッチ家(9代),塞/蒙,false,和解の世代、ゾランの甥、統一ユーゴを知らない初代
149,カマル・オコンクウォ,Kamal Okonkwo,WG,1+,10,オコンクウォ家(8代),奈,false,欧州移籍1号、プレミアで戦った最初の家系メンバー
150,エマニュエル・マクファーレン,Emmanuel MacFarlane,SB,1+,10,マクファーレン家(9代),蘇,false,フィオナの弟、姉の影で兄弟喧嘩する現役代理人
151,トーマス・ニールセン,Thomas Nielsen,GK,1,10,無所属,丁抹,false,2000年欧州準優勝GK、北欧最後のスター守護神
152,パトリック・ンゴマ,Patrick Ngoma,FW,1,10,無所属,咖麦隆,false,アフリカ選手権連覇の得点王、俊足の突破役
153,ジャック・デュボワ,Jacques Dubois,MF,1,10,デュボワ家(8代),仏,false,ネット時代の最初のブロガー記者、紙を捨てた男
154,アミル・ハッサン,Amir Hassan,DF,1,10,無所属,埃,false,アフリカネイションズ3連覇、アラブ世界の壁
155,アルバロ・モリナ,Álvaro Molina,MF,SS,11,無所属,西,false,スペイン3連覇時代の頭脳、ティキ・タカの中心で走り続けた
156,古川 早苗,Sanae Furukawa,OM,SS,11,無所属,日,false,2011年女子W杯優勝の象徴、細身で倒れない司令塔
157,セドリック・ブラックウッド,Cedric Blackwood,DF,2+,11,ブラックウッド家(11代当主),英,false,FFP時代に一族資産を守り抜いた投資家型当主
158,ファウスト・モンテフィオーレ,Fausto Montefiore,OM,2+,11,モンテフィオーレ家(10代),伊,false,カルチョポリ後の再建者、父ダニエレの汚名を背負って
159,ヴィトール・アゼヴェド,Vitor Azevedo,FW,2+,11,シルヴァ家(傍流・ポルトガル分家),葡,false,リスボンから来た二刀流、ドリブルも守備もできる新型
160,フランツ・ヴァイスハウプト,Franz Weisshaupt,VO,2,11,ヴァイスハウプト家(10代),独,false,データ分析を世界で最初に実装した「思考する守備者」
161,イニゴ・バスクエス,Iñigo Vázquez,DF,2,11,無所属,西,false,バスク出身、スペイン黄金期の最後の砦
162,マモドゥ・サヴァネ,Mamadou Savané,FW,2,11,オコンクウォ家縁戚(マリ系),馬,false,中東資本のクラブに買われた最初のアフリカン超新星
163,カール・ソレンセン,Karl Sørensen,GK,1+,11,無所属,諾,false,SNSで嘲笑されながら守り続けた北欧の鉄人
164,レアンドロ・フォンセカ,Leandro Fonseca,WG,1+,11,シルヴァ家(傍流・アルゼンチン分家),亜,false,Era 6ディエゴの孫、祖父の影を越えようとする翼
165,ナタリー・デュボワ,Nathalie Dubois,MF,1+,11,デュボワ家(9代),仏,false,最初の女性TV解説者、放送局で戦った9代目
166,アンドレイ・ペトコヴィッチ,Andrej Petković,MF,1+,11,コヴァチェヴィッチ家(傍流),塞,false,ゾランに育てられた最後の弟子、分裂世代の統合者
167,ミシェル・ルフェーブル,Michel Lefebvre,SB,1,11,無所属,仏,false,パリの名門SB、中東資本の波に呑まれた忠誠の人
168,ビクラム・シン,Vikram Singh,MF,1,11,無所属,印,false,IPLブーム期のインド代表、未成熟市場の先駆者
169,石原 拓真,Takuma Ishihara,DF,1,11,無所属,日,false,欧州2部で長く戦った無名DF、日本の地味な輸出選手
170,オラ・アデバヨ,Ola Adebayo,FW,1,11,オコンクウォ家(9代),奈,false,プレミア下部でくすぶる若手、ラゴスで待つ母に仕送り
171,フアン・エルナンデス,Juan Hernández,VO,SS,12,無所属,智,false,Copa América連覇の中核、走行距離だけで勝った男
172,アデオラ・オコンクウォ,Adeola Okonkwo,OM,SS,12,オコンクウォ家(10代当主),奈,false,バロンドール候補、家系初の世界最高峰
173,ニルス・ヴァイスハウプト,Nils Weisshaupt,MF,2+,12,ヴァイスハウプト家(11代),独,false,2014年W杯優勝世代、データで戦術を書き換えた若頭
174,ヴァレンティーナ・モンテフィオーレ,Valentina Montefiore,OM,2+,12,モンテフィオーレ家(傍流・女性),伊,false,アレッサンドラの姪、セリエA女子を再建した興行師
175,カレブ・ブラックウッド,Caleb Blackwood,FW,2+,12,ブラックウッド家(12代),英,false,ブレグジット投票日に代表デビューした若き当主候補
176,イヴァン・ペトロヴィッチ,Ivan Petrović,DF,2,12,無所属,塞,false,VAR初年度の「消えたゴール」判定で引退を早めた壁
177,呉 金豪,Wu Jinhao,MF,2,12,無所属,中,false,中国爆買い時代に欧州移籍した最初の中国人司令塔
178,マルコス・アルメイダ,Marcos Almeida,FW,2,12,シルヴァ家(10代),伯,false,2014年W杯1-7の記憶を背負った世代、沈黙の得点王
179,ラファエル・ジャンヴィエ,Raphaël Janvier,WG,1+,12,無所属,仏,false,2018年W杯優勝、移民3世の翼、マルセイユ出身
180,カミラ・デュボワ,Camille Dubois,MF,1+,12,デュボワ家(10代),仏,false,最初のポッドキャスト記者、TV時代の終わりを告げた
181,ハンナ・マクファーレン,Hannah MacFarlane,SB,1+,12,マクファーレン家(10代・フィオナの娘),蘇,false,母の代理人業を嫌ってデータ会社を起こした娘
182,モハメド・エル=タエブ,Mohamed El-Taeb,WG,1+,12,無所属,埃,false,プレミアで得点王、アラブ圏のスーパースター第一号
183,カトリン・ヨハンセン,Katrin Johansen,FW,1,12,無所属,瑞典,false,女子チャンピオンズリーグ優勝、北欧女子の象徴
184,ディエゴ・ゴンザレス,Diego González,GK,1,12,無所属,烏,false,PK止めすぎて伝説になった小柄な守護神
185,青木 健人,Kento Aoki,SB,1,12,無所属,日,false,2014年W杯グループ敗退の無名SB、海外で10年走った職人
186,オマル・シディベ,Omar Sidibé,DF,1,12,無所属,馬,false,中国リーグで稼いで故郷に学校を建てたDF
187,ベネディクト・ヴァイスハウプト,Benedikt Weisshaupt,OM,SS,13,ヴァイスハウプト家(12代当主),独,false,パンデミック下の無観客試合で叫び続けた最後の司令塔
188,アリス・ブラックウッド,Alice Blackwood,MF,2+,13,ブラックウッド家(傍流・女性),英,false,家系初の女性現役選手、ドロシーから100年後の答え
189,セレステ・モンテフィオーレ,Celeste Montefiore,OM,2+,13,モンテフィオーレ家(11代),伊,false,欧州スーパーリーグ構想の首謀者の一人、一族の最終形態
190,ムサ・オコンクウォ,Musa Okonkwo,WG,2,13,オコンクウォ家(11代),奈,false,BLMで膝をついた最初の一人、家系のアクティビスト継承者
191,タデイ・ノヴァコヴィッチ,Tadej Novaković,MF,2,13,コヴァチェヴィッチ家(10代),塞,false,Instagram世代の代表、戦争を知らない統合世代の象徴
